"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,10017,6001788,3,2016,31,14.0057803468208,"Cox Academy",94603
"2",1,10017,6001788,4,2016,31,13.5025906735751,"Cox Academy",94603
"3",1,10017,6001788,5,2016,31,12,"Cox Academy",94603
"4",1,10017,6001788,13,2016,31,13,"Cox Academy",94603
"5",1,10017,6001788,13,2016,111,16.0967741935484,"Cox Academy",94603
"6",1,10017,6002000,3,2016,31,17.0210526315789,"Lazear Charter Academy",94601
"7",1,10017,6002000,4,2016,31,14,"Lazear Charter Academy",94601
"8",1,10017,6002000,5,2016,31,21.5,"Lazear Charter Academy",94601
"9",1,10017,6002000,6,2016,31,15.4270833333333,"Lazear Charter Academy",94601
"10",1,10017,6002000,7,2016,31,27.8666666666667,"Lazear Charter Academy",94601
"11",1,10017,6002000,8,2016,31,23.4059405940594,"Lazear Charter Academy",94601
"12",1,10017,6002000,13,2016,31,19.4603174603175,"Lazear Charter Academy",94601
"13",1,10017,6002000,13,2016,111,8.47826086956522,"Lazear Charter Academy",94601
"14",1,61119,111765,3,2016,31,19,"Ruby Bridges Elementary",94501
"15",1,61119,111765,3,2016,111,40,"Ruby Bridges Elementary",94501
"16",1,61119,111765,4,2016,31,17.4770642201835,"Ruby Bridges Elementary",94501
"17",1,61119,111765,4,2016,111,58.9019607843137,"Ruby Bridges Elementary",94501
"18",1,61119,111765,5,2016,31,23,"Ruby Bridges Elementary",94501
"19",1,61119,111765,5,2016,111,47.5,"Ruby Bridges Elementary",94501
"20",1,61119,111765,13,2016,31,19.9974554707379,"Ruby Bridges Elementary",94501
"21",1,61119,111765,13,2016,111,48.4644808743169,"Ruby Bridges Elementary",94501
"22",1,61119,119222,3,2016,31,27,"Nea Community Learning Center",94501
"23",1,61119,119222,3,2016,111,61.5,"Nea Community Learning Center",94501
"24",1,61119,119222,4,2016,31,37.5,"Nea Community Learning Center",94501
"25",1,61119,119222,4,2016,111,55,"Nea Community Learning Center",94501
"26",1,61119,119222,5,2016,111,55.5,"Nea Community Learning Center",94501
"27",1,61119,119222,6,2016,31,14,"Nea Community Learning Center",94501
"28",1,61119,119222,6,2016,111,38.5,"Nea Community Learning Center",94501
"29",1,61119,119222,7,2016,31,9,"Nea Community Learning Center",94501
"30",1,61119,119222,7,2016,111,58,"Nea Community Learning Center",94501
"31",1,61119,119222,11,2016,111,26.5,"Nea Community Learning Center",94501
"32",1,61119,119222,13,2016,31,29,"Nea Community Learning Center",94501
"33",1,61119,119222,13,2016,111,52.5,"Nea Community Learning Center",94501
"34",1,61119,130229,11,2016,31,60.3950617283951,"Alameda High",94501
"35",1,61119,130229,11,2016,111,70.9572107765452,"Alameda High",94501
"36",1,61119,130229,13,2016,31,60.3950617283951,"Alameda High",94501
"37",1,61119,130229,13,2016,111,70.9572107765452,"Alameda High",94501
"38",1,61119,130609,6,2016,111,73.5,"Alameda Community Learning Center",94501
"39",1,61119,130609,7,2016,111,79,"Alameda Community Learning Center",94501
"40",1,61119,130609,8,2016,111,80.5,"Alameda Community Learning Center",94501
"41",1,61119,130609,11,2016,111,80.2,"Alameda Community Learning Center",94501
"42",1,61119,130609,13,2016,31,53.5,"Alameda Community Learning Center",94501
"43",1,61119,130609,13,2016,111,78.0260416666667,"Alameda Community Learning Center",94501
"44",1,61119,6090013,3,2016,111,71,"Edison Elementary",94501
"45",1,61119,6090013,4,2016,31,50,"Edison Elementary",94501
"46",1,61119,6090013,4,2016,111,74.5,"Edison Elementary",94501
"47",1,61119,6090013,5,2016,31,64,"Edison Elementary",94501
"48",1,61119,6090013,5,2016,111,77,"Edison Elementary",94501
"49",1,61119,6090013,13,2016,31,48.5,"Edison Elementary",94501
"50",1,61119,6090013,13,2016,111,74,"Edison Elementary",94501
"51",1,61119,6090021,3,2016,31,47.5,"Frank Otis Elementary",94501
"52",1,61119,6090021,3,2016,111,78.5,"Frank Otis Elementary",94501
"53",1,61119,6090021,4,2016,31,46.5,"Frank Otis Elementary",94501
"54",1,61119,6090021,4,2016,111,70.5,"Frank Otis Elementary",94501
"55",1,61119,6090021,5,2016,31,55,"Frank Otis Elementary",94501
"56",1,61119,6090021,5,2016,111,79,"Frank Otis Elementary",94501
"57",1,61119,6090021,13,2016,31,50,"Frank Otis Elementary",94501
"58",1,61119,6090021,13,2016,111,75.5,"Frank Otis Elementary",94501
"59",1,61119,6090039,3,2016,111,78,"Franklin Elementary",94501
"60",1,61119,6090039,4,2016,111,78,"Franklin Elementary",94501
"61",1,61119,6090039,5,2016,111,69.5,"Franklin Elementary",94501
"62",1,61119,6090039,13,2016,31,34.5,"Franklin Elementary",94501
"63",1,61119,6090039,13,2016,111,75,"Franklin Elementary",94501
"64",1,61119,6090054,6,2016,31,57.5,"Lincoln Middle",94501
"65",1,61119,6090054,6,2016,111,79,"Lincoln Middle",94501
"66",1,61119,6090054,7,2016,31,60.5,"Lincoln Middle",94501
"67",1,61119,6090054,7,2016,111,85.4943310657596,"Lincoln Middle",94501
"68",1,61119,6090054,8,2016,31,68.5,"Lincoln Middle",94501
"69",1,61119,6090054,8,2016,111,83.4919786096257,"Lincoln Middle",94501
"70",1,61119,6090054,13,2016,31,62,"Lincoln Middle",94501
"71",1,61119,6090054,13,2016,111,82.4939024390244,"Lincoln Middle",94501
"72",1,61119,6090112,6,2016,31,36.4105960264901,"Will C. Wood Middle",94501
"73",1,61119,6090112,6,2016,111,50,"Will C. Wood Middle",94501
"74",1,61119,6090112,7,2016,31,32.1566265060241,"Will C. Wood Middle",94501
"75",1,61119,6090112,7,2016,111,63,"Will C. Wood Middle",94501
"76",1,61119,6090112,8,2016,31,44,"Will C. Wood Middle",94501
"77",1,61119,6090112,8,2016,111,57.458064516129,"Will C. Wood Middle",94501
"78",1,61119,6090112,13,2016,31,37.8895705521472,"Will C. Wood Middle",94501
"79",1,61119,6090112,13,2016,111,56.9863945578231,"Will C. Wood Middle",94501
"80",1,61119,6090120,3,2016,31,23.1794871794872,"William G. Paden Elementary",94501
"81",1,61119,6090120,3,2016,111,77,"William G. Paden Elementary",94501
"82",1,61119,6090120,4,2016,31,42.5,"William G. Paden Elementary",94501
"83",1,61119,6090120,4,2016,111,86.5,"William G. Paden Elementary",94501
