"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,61119,111765,2,2008,31,44,"Ruby Bridges Elementary",94501
"2",1,61119,111765,2,2008,111,74,"Ruby Bridges Elementary",94501
"3",1,61119,111765,3,2008,31,52.4455445544554,"Ruby Bridges Elementary",94501
"4",1,61119,111765,3,2008,111,71.7647058823529,"Ruby Bridges Elementary",94501
"5",1,61119,111765,4,2008,31,58.0582524271845,"Ruby Bridges Elementary",94501
"6",1,61119,111765,4,2008,111,72.7391304347826,"Ruby Bridges Elementary",94501
"7",1,61119,111765,5,2008,31,35.7073170731707,"Ruby Bridges Elementary",94501
"8",1,61119,111765,5,2008,111,56,"Ruby Bridges Elementary",94501
"9",1,61119,130229,9,2008,31,46.5102040816327,"Alameda High",94501
"10",1,61119,130229,9,2008,111,60.013875123885,"Alameda High",94501
"11",1,61119,130229,10,2008,31,32.7850287907869,"Alameda High",94501
"12",1,61119,130229,10,2008,111,53.6886559802713,"Alameda High",94501
"13",1,61119,130229,11,2008,31,43.4971590909091,"Alameda High",94501
"14",1,61119,130229,11,2008,111,55.1030756442228,"Alameda High",94501
"15",1,61119,6090013,2,2008,111,89,"Edison Elementary",94501
"16",1,61119,6090013,3,2008,111,87,"Edison Elementary",94501
"17",1,61119,6090013,4,2008,111,88,"Edison Elementary",94501
"18",1,61119,6090013,5,2008,111,78.3333333333333,"Edison Elementary",94501
"19",1,61119,6090039,2,2008,31,58,"Franklin Elementary",94501
"20",1,61119,6090039,2,2008,111,72,"Franklin Elementary",94501
"21",1,61119,6090039,3,2008,111,87.5,"Franklin Elementary",94501
"22",1,61119,6090039,4,2008,111,76,"Franklin Elementary",94501
"23",1,61119,6090039,5,2008,31,61.3333333333333,"Franklin Elementary",94501
"24",1,61119,6090039,5,2008,111,86.3333333333333,"Franklin Elementary",94501
"25",1,61119,6090054,6,2008,31,56.5,"Lincoln Middle",94501
"26",1,61119,6090054,6,2008,111,77,"Lincoln Middle",94501
"27",1,61119,6090054,7,2008,31,51.864406779661,"Lincoln Middle",94501
"28",1,61119,6090054,7,2008,111,80.3641509433962,"Lincoln Middle",94501
"29",1,61119,6090054,8,2008,31,47.2647058823529,"Lincoln Middle",94501
"30",1,61119,6090054,8,2008,111,73.0426164519326,"Lincoln Middle",94501
"31",1,61127,130294,10,2008,111,9.75,"MacGregor High (Continuation)",94706
"32",1,61127,130450,9,2008,31,35.8571428571429,"Albany High",94706
"33",1,61127,130450,9,2008,111,71.8948717948718,"Albany High",94706
"34",1,61127,130450,10,2008,31,33.8512396694215,"Albany High",94706
"35",1,61127,130450,10,2008,111,59.055905511811,"Albany High",94706
"36",1,61127,130450,11,2008,31,35.3636363636364,"Albany High",94706
"37",1,61127,130450,11,2008,111,54.6695005313496,"Albany High",94706
"38",1,61127,6090146,2,2008,31,45,"Cornell Elementary",94706
"39",1,61127,6090146,2,2008,111,66,"Cornell Elementary",94706
"40",1,61127,6090146,3,2008,111,73.979020979021,"Cornell Elementary",94706
"41",1,61127,6090146,4,2008,31,62.5,"Cornell Elementary",94706
"42",1,61127,6090146,4,2008,111,84.468085106383,"Cornell Elementary",94706
"43",1,61127,6090146,5,2008,111,82.6666666666667,"Cornell Elementary",94706
"44",1,61127,6090161,6,2008,31,40.5,"Albany Middle",94706
"45",1,61127,6090161,6,2008,111,78,"Albany Middle",94706
"46",1,61127,6090161,7,2008,31,55.5079365079365,"Albany Middle",94706
"47",1,61127,6090161,7,2008,111,78.5329341317365,"Albany Middle",94706
"48",1,61127,6090161,8,2008,31,37.6384615384615,"Albany Middle",94706
"49",1,61127,6090161,8,2008,111,76.8330170777989,"Albany Middle",94706
"50",1,61127,6095376,2,2008,111,89.5,"Marin Elementary",94706
"51",1,61127,6095376,3,2008,111,79.5,"Marin Elementary",94706
"52",1,61127,6095376,4,2008,111,77,"Marin Elementary",94706
"53",1,61127,6095376,5,2008,31,49.7894736842105,"Marin Elementary",94706
"54",1,61127,6095376,5,2008,111,76.0045662100457,"Marin Elementary",94706
"55",1,61127,6116222,2,2008,31,46,"Ocean View Elementary",94706
"56",1,61127,6116222,2,2008,111,81,"Ocean View Elementary",94706
"57",1,61127,6116222,3,2008,31,73,"Ocean View Elementary",94706
"58",1,61127,6116222,3,2008,111,80.5,"Ocean View Elementary",94706
"59",1,61127,6116222,4,2008,31,63,"Ocean View Elementary",94706
"60",1,61127,6116222,4,2008,111,78.020202020202,"Ocean View Elementary",94706
"61",1,61127,6116222,5,2008,31,71.9154929577465,"Ocean View Elementary",94706
"62",1,61127,6116222,5,2008,111,78.3122171945701,"Ocean View Elementary",94706
"63",1,61143,131177,9,2008,31,22.8348134991119,"Berkeley High",94704
"64",1,61143,131177,9,2008,111,56.1730486008837,"Berkeley High",94704
"65",1,61143,131177,10,2008,31,16.890873015873,"Berkeley High",94704
"66",1,61143,131177,10,2008,111,46.9419595314164,"Berkeley High",94704
"67",1,61143,131177,11,2008,31,9.70412844036697,"Berkeley High",94704
"68",1,61143,131177,11,2008,111,40.5268667131891,"Berkeley High",94704
"69",1,61143,6056865,6,2008,31,33,"Willard Middle",94705
"70",1,61143,6056865,6,2008,111,68.5,"Willard Middle",94705
"71",1,61143,6056865,7,2008,31,33.4906832298137,"Willard Middle",94705
"72",1,61143,6056865,7,2008,111,61.0070921985816,"Willard Middle",94705
"73",1,61143,6056865,8,2008,31,23.4964539007092,"Willard Middle",94705
"74",1,61143,6056865,8,2008,111,53.4356060606061,"Willard Middle",94705
"75",1,61143,6090195,2,2008,31,46,"Cragmont Elementary",94708
"76",1,61143,6090195,2,2008,111,81,"Cragmont Elementary",94708
"77",1,61143,6090195,3,2008,31,29,"Cragmont Elementary",94708
"78",1,61143,6090195,3,2008,111,67,"Cragmont Elementary",94708
"79",1,61143,6090195,4,2008,31,40.5,"Cragmont Elementary",94708
"80",1,61143,6090195,4,2008,111,86,"Cragmont Elementary",94708
"81",1,61143,6090195,5,2008,31,45.6666666666667,"Cragmont Elementary",94708
"82",1,61143,6090195,5,2008,111,84.6666666666667,"Cragmont Elementary",94708
"83",1,61143,6090211,2,2008,31,46.5,"Emerson Elementary",94705
"84",1,61143,6090211,2,2008,111,77.5,"Emerson Elementary",94705
"85",1,61143,6090211,3,2008,31,44.5,"Emerson Elementary",94705
"86",1,61143,6090211,3,2008,111,73.5,"Emerson Elementary",94705
"87",1,61143,6090211,4,2008,31,55,"Emerson Elementary",94705
"88",1,61143,6090211,4,2008,111,73.5,"Emerson Elementary",94705
"89",1,61143,6090211,5,2008,31,17.3333333333333,"Emerson Elementary",94705
"90",1,61143,6090211,5,2008,111,89,"Emerson Elementary",94705
"91",1,61143,6090286,2,2008,31,56.5,"Malcolm X Elementary",94703
"92",1,61143,6090286,2,2008,111,77.5,"Malcolm X Elementary",94703
"93",1,61143,6090286,3,2008,31,46.5,"Malcolm X Elementary",94703
"94",1,61143,6090286,3,2008,111,87.5,"Malcolm X Elementary",94703
"95",1,61143,6090286,4,2008,31,54.7450980392157,"Malcolm X Elementary",94703
"96",1,61143,6090286,4,2008,111,95,"Malcolm X Elementary",94703
"97",1,61143,6090286,5,2008,31,50.9259259259259,"Malcolm X Elementary",94703
"98",1,61143,6090286,5,2008,111,80,"Malcolm X Elementary",94703
"99",1,61143,6090310,2,2008,31,27,"Thousand Oaks Elementary",94707
"100",1,61143,6090310,2,2008,111,72.5,"Thousand Oaks Elementary",94707
"101",1,61143,6090310,3,2008,31,20,"Thousand Oaks Elementary",94707
"102",1,61143,6090310,3,2008,111,74.4050632911392,"Thousand Oaks Elementary",94707
"103",1,61143,6090310,4,2008,31,64,"Thousand Oaks Elementary",94707
"104",1,61143,6090310,4,2008,111,82,"Thousand Oaks Elementary",94707
"105",1,61143,6090310,5,2008,31,27.6666666666667,"Thousand Oaks Elementary",94707
"106",1,61143,6090310,5,2008,111,69,"Thousand Oaks Elementary",94707
"107",1,61143,6090328,2,2008,31,38,"Washington Elementary",94704
