"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,10017,6001788,3,2017,31,26.1382954545455,"Cox Academy",94603
"2",1,10017,6001788,4,2017,31,17.565,"Cox Academy",94603
"3",1,10017,6001788,5,2017,31,9.65943181818182,"Cox Academy",94603
"4",1,10017,6001788,13,2017,31,17.782213740458,"Cox Academy",94603
"5",1,10017,6001788,13,2017,111,19.05,"Cox Academy",94603
"6",1,10017,6002000,3,2017,31,17.78,"Lazear Charter Academy",94601
"7",1,10017,6002000,4,2017,31,13.83,"Lazear Charter Academy",94601
"8",1,10017,6002000,5,2017,31,24.04,"Lazear Charter Academy",94601
"9",1,10017,6002000,6,2017,31,7.29,"Lazear Charter Academy",94601
"10",1,10017,6002000,7,2017,31,15.9985,"Lazear Charter Academy",94601
"11",1,10017,6002000,8,2017,31,38.74675,"Lazear Charter Academy",94601
"12",1,10017,6002000,13,2017,31,19.1488652482269,"Lazear Charter Academy",94601
"13",1,10017,6002000,13,2017,111,26.2270491803279,"Lazear Charter Academy",94601
"14",1,61119,111765,3,2017,31,26.3649090909091,"Ruby Bridges Elementary",94501
"15",1,61119,111765,3,2017,111,39.0258536585366,"Ruby Bridges Elementary",94501
"16",1,61119,111765,4,2017,31,18.655,"Ruby Bridges Elementary",94501
"17",1,61119,111765,4,2017,111,48.44,"Ruby Bridges Elementary",94501
"18",1,61119,111765,5,2017,31,34.1460975609756,"Ruby Bridges Elementary",94501
"19",1,61119,111765,5,2017,111,57.1428571428571,"Ruby Bridges Elementary",94501
"20",1,61119,111765,13,2017,31,25.1546932515337,"Ruby Bridges Elementary",94501
"21",1,61119,111765,13,2017,111,48.7,"Ruby Bridges Elementary",94501
"22",1,61119,119222,3,2017,111,41.665,"Nea Community Learning Center",94501
"23",1,61119,119222,4,2017,111,53.41,"Nea Community Learning Center",94501
"24",1,61119,119222,5,2017,111,46.81,"Nea Community Learning Center",94501
"25",1,61119,119222,6,2017,111,42.105,"Nea Community Learning Center",94501
"26",1,61119,119222,7,2017,31,26.925,"Nea Community Learning Center",94501
"27",1,61119,119222,7,2017,111,40.6783050847458,"Nea Community Learning Center",94501
"28",1,61119,119222,8,2017,111,36.205,"Nea Community Learning Center",94501
"29",1,61119,119222,11,2017,111,50,"Nea Community Learning Center",94501
"30",1,61119,119222,13,2017,31,19.8205405405405,"Nea Community Learning Center",94501
"31",1,61119,119222,13,2017,111,44.877385620915,"Nea Community Learning Center",94501
"32",1,61119,130229,11,2017,31,57.655,"Alameda High",94501
"33",1,61119,130229,11,2017,111,69.8773136645963,"Alameda High",94501
"34",1,61119,130229,13,2017,31,57.655,"Alameda High",94501
"35",1,61119,130229,13,2017,111,69.8773136645963,"Alameda High",94501
"36",1,61119,130609,6,2017,111,63.1958024691358,"Alameda Community Learning Center",94501
"37",1,61119,130609,7,2017,111,80.7036,"Alameda Community Learning Center",94501
"38",1,61119,130609,8,2017,111,73.9184536082474,"Alameda Community Learning Center",94501
"39",1,61119,130609,11,2017,111,60.002,"Alameda Community Learning Center",94501
"40",1,61119,130609,13,2017,31,34.8016,"Alameda Community Learning Center",94501
"41",1,61119,130609,13,2017,111,70.8775147928994,"Alameda Community Learning Center",94501
"42",1,61119,6090013,3,2017,31,75,"Edison Elementary",94501
