"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,61119,111765,2,2009,31,49,"Ruby Bridges Elementary",94501
"2",1,61119,111765,2,2009,111,79.5,"Ruby Bridges Elementary",94501
"3",1,61119,111765,3,2009,31,36.2407407407407,"Ruby Bridges Elementary",94501
"4",1,61119,111765,3,2009,111,72.5,"Ruby Bridges Elementary",94501
"5",1,61119,111765,4,2009,31,60.4444444444444,"Ruby Bridges Elementary",94501
"6",1,61119,111765,4,2009,111,83,"Ruby Bridges Elementary",94501
"7",1,61119,111765,5,2009,31,48.6936416184971,"Ruby Bridges Elementary",94501
"8",1,61119,111765,5,2009,111,73.5849056603774,"Ruby Bridges Elementary",94501
"9",1,61119,130229,9,2009,31,46.6057692307692,"Alameda High",94501
"10",1,61119,130229,9,2009,111,61.0105363984674,"Alameda High",94501
"11",1,61119,130229,10,2009,31,42.0645933014354,"Alameda High",94501
"12",1,61119,130229,10,2009,111,55.8341740226986,"Alameda High",94501
"13",1,61119,130229,11,2009,31,41.7587209302326,"Alameda High",94501
"14",1,61119,130229,11,2009,111,55.5163551401869,"Alameda High",94501
"15",1,61119,6090013,2,2009,111,90,"Edison Elementary",94501
"16",1,61119,6090013,3,2009,111,84.5,"Edison Elementary",94501
"17",1,61119,6090013,4,2009,111,99,"Edison Elementary",94501
"18",1,61119,6090013,5,2009,111,86.6666666666667,"Edison Elementary",94501
"19",1,61119,6090039,2,2009,31,63.5,"Franklin Elementary",94501
"20",1,61119,6090039,2,2009,111,79.5,"Franklin Elementary",94501
"21",1,61119,6090039,3,2009,31,56.4782608695652,"Franklin Elementary",94501
"22",1,61119,6090039,3,2009,111,78.5393258426966,"Franklin Elementary",94501
"23",1,61119,6090039,4,2009,111,85,"Franklin Elementary",94501
"24",1,61119,6090039,5,2009,31,67,"Franklin Elementary",94501
"25",1,61119,6090039,5,2009,111,80.3333333333333,"Franklin Elementary",94501
"26",1,61119,6090054,6,2009,31,65.5510204081633,"Lincoln Middle",94501
"27",1,61119,6090054,6,2009,111,81.5024958402662,"Lincoln Middle",94501
"28",1,61119,6090054,7,2009,31,58.9487179487179,"Lincoln Middle",94501
"29",1,61119,6090054,7,2009,111,80.8964143426295,"Lincoln Middle",94501
"30",1,61119,6090054,8,2009,31,54.070796460177,"Lincoln Middle",94501
"31",1,61119,6090054,8,2009,111,74.2383612662942,"Lincoln Middle",94501
"32",1,61127,130294,10,2009,111,6,"MacGregor High (Continuation)",94706
"33",1,61127,130294,11,2009,111,2.33333333333333,"MacGregor High (Continuation)",94706
"34",1,61127,130450,9,2009,31,40.6827586206897,"Albany High",94706
"35",1,61127,130450,9,2009,111,74.6976160602258,"Albany High",94706
"36",1,61127,130450,10,2009,31,34.7063492063492,"Albany High",94706
"37",1,61127,130450,10,2009,111,66.4157119476268,"Albany High",94706
"38",1,61127,130450,11,2009,31,32.2321428571429,"Albany High",94706
"39",1,61127,130450,11,2009,111,61.5961538461538,"Albany High",94706
"40",1,61127,6090146,2,2009,31,66.5,"Cornell Elementary",94706
"41",1,61127,6090146,2,2009,111,78.5,"Cornell Elementary",94706
"42",1,61127,6090146,3,2009,31,53,"Cornell Elementary",94706
"43",1,61127,6090146,3,2009,111,73.5,"Cornell Elementary",94706
"44",1,61127,6090146,4,2009,31,72,"Cornell Elementary",94706
"45",1,61127,6090146,4,2009,111,89,"Cornell Elementary",94706
"46",1,61127,6090146,5,2009,31,60.6666666666667,"Cornell Elementary",94706
"47",1,61127,6090146,5,2009,111,84.3333333333333,"Cornell Elementary",94706
"48",1,61127,6090161,6,2009,31,50.0252100840336,"Albany Middle",94706
"49",1,61127,6090161,6,2009,111,79.4933333333333,"Albany Middle",94706
"50",1,61127,6090161,7,2009,31,54.5,"Albany Middle",94706
"51",1,61127,6090161,7,2009,111,78.531779661017,"Albany Middle",94706
"52",1,61127,6090161,8,2009,31,53.6587301587302,"Albany Middle",94706
"53",1,61127,6090161,8,2009,111,76.3791708796764,"Albany Middle",94706
"54",1,61127,6095376,2,2009,31,82.5,"Marin Elementary",94706
"55",1,61127,6095376,2,2009,111,93.5,"Marin Elementary",94706
"56",1,61127,6095376,3,2009,111,86.5,"Marin Elementary",94706
"57",1,61127,6095376,4,2009,111,88.5,"Marin Elementary",94706
"58",1,61127,6095376,5,2009,111,81.3333333333333,"Marin Elementary",94706
"59",1,61127,6116222,2,2009,31,84,"Ocean View Elementary",94706
"60",1,61127,6116222,2,2009,111,83.5,"Ocean View Elementary",94706
"61",1,61127,6116222,3,2009,31,59.0204081632653,"Ocean View Elementary",94706
"62",1,61127,6116222,3,2009,111,87.5,"Ocean View Elementary",94706
"63",1,61127,6116222,4,2009,31,81.5,"Ocean View Elementary",94706
"64",1,61127,6116222,4,2009,111,86.5042016806723,"Ocean View Elementary",94706
"65",1,61127,6116222,5,2009,31,71,"Ocean View Elementary",94706
"66",1,61127,6116222,5,2009,111,81.0225563909774,"Ocean View Elementary",94706
"67",1,61143,131177,9,2009,31,25.5740740740741,"Berkeley High",94704
"68",1,61143,131177,9,2009,111,54.1864728192162,"Berkeley High",94704
"69",1,61143,131177,10,2009,31,20.0110759493671,"Berkeley High",94704
"70",1,61143,131177,10,2009,111,48.7207911683533,"Berkeley High",94704
"71",1,61143,131177,11,2009,31,18.7609254498715,"Berkeley High",94704
"72",1,61143,131177,11,2009,111,45.5810276679842,"Berkeley High",94704
"73",1,61143,6056865,6,2009,31,47,"Willard Middle",94705
"74",1,61143,6056865,6,2009,111,68,"Willard Middle",94705
"75",1,61143,6056865,7,2009,31,34.4748201438849,"Willard Middle",94705
"76",1,61143,6056865,7,2009,111,63,"Willard Middle",94705
"77",1,61143,6056865,8,2009,31,26.25,"Willard Middle",94705
"78",1,61143,6056865,8,2009,111,59.4460227272727,"Willard Middle",94705
"79",1,61143,6090195,2,2009,31,19.5,"Cragmont Elementary",94708
"80",1,61143,6090195,2,2009,111,83.5,"Cragmont Elementary",94708
"81",1,61143,6090195,3,2009,31,33.5,"Cragmont Elementary",94708
"82",1,61143,6090195,3,2009,111,80.5,"Cragmont Elementary",94708
"83",1,61143,6090195,4,2009,31,51.5,"Cragmont Elementary",94708
"84",1,61143,6090195,4,2009,111,77.5,"Cragmont Elementary",94708
"85",1,61143,6090195,5,2009,31,39.4821428571429,"Cragmont Elementary",94708
"86",1,61143,6090195,5,2009,111,91.6666666666667,"Cragmont Elementary",94708
"87",1,61143,6090211,2,2009,31,45.5,"Emerson Elementary",94705
"88",1,61143,6090211,2,2009,111,85,"Emerson Elementary",94705
"89",1,61143,6090211,3,2009,31,36.5,"Emerson Elementary",94705
"90",1,61143,6090211,3,2009,111,76,"Emerson Elementary",94705
"91",1,61143,6090211,4,2009,31,43.1025641025641,"Emerson Elementary",94705
"92",1,61143,6090211,4,2009,111,88,"Emerson Elementary",94705
"93",1,61143,6090211,5,2009,31,36.3333333333333,"Emerson Elementary",94705
"94",1,61143,6090211,5,2009,111,79.6666666666667,"Emerson Elementary",94705
"95",1,61143,6090286,2,2009,31,59,"Malcolm X Elementary",94703
"96",1,61143,6090286,2,2009,111,88,"Malcolm X Elementary",94703
"97",1,61143,6090286,3,2009,31,38.5,"Malcolm X Elementary",94703
