"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,10017,6001788,3,2015,31,10,"Cox Academy",94603
"2",1,10017,6001788,4,2015,31,11.0157068062827,"Cox Academy",94603
"3",1,10017,6001788,5,2015,31,14.5,"Cox Academy",94603
"4",1,10017,6002000,3,2015,31,12.010752688172,"Lazear Charter Academy",94601
"5",1,10017,6002000,4,2015,31,18,"Lazear Charter Academy",94601
"6",1,10017,6002000,5,2015,31,19.5,"Lazear Charter Academy",94601
"7",1,10017,6002000,6,2015,31,16.9438202247191,"Lazear Charter Academy",94601
"8",1,10017,6002000,7,2015,31,16.5,"Lazear Charter Academy",94601
"9",1,10017,6002000,8,2015,31,38,"Lazear Charter Academy",94601
"10",1,61119,111765,3,2015,31,26,"Ruby Bridges Elementary",94501
"11",1,61119,111765,3,2015,111,58,"Ruby Bridges Elementary",94501
"12",1,61119,111765,4,2015,31,30,"Ruby Bridges Elementary",94501
"13",1,61119,111765,4,2015,111,63,"Ruby Bridges Elementary",94501
"14",1,61119,111765,5,2015,31,32,"Ruby Bridges Elementary",94501
"15",1,61119,111765,5,2015,111,59.5,"Ruby Bridges Elementary",94501
"16",1,61119,119222,3,2015,31,32,"Nea Community Learning Center",94501
"17",1,61119,119222,3,2015,111,61.5,"Nea Community Learning Center",94501
"18",1,61119,119222,4,2015,31,25,"Nea Community Learning Center",94501
"19",1,61119,119222,4,2015,111,57,"Nea Community Learning Center",94501
"20",1,61119,119222,5,2015,111,55.3827160493827,"Nea Community Learning Center",94501
"21",1,61119,119222,6,2015,31,25,"Nea Community Learning Center",94501
"22",1,61119,119222,6,2015,111,28.9565217391304,"Nea Community Learning Center",94501
"23",1,61119,119222,7,2015,111,58,"Nea Community Learning Center",94501
"24",1,61119,119222,8,2015,31,18.5,"Nea Community Learning Center",94501
"25",1,61119,119222,8,2015,111,64.4782608695652,"Nea Community Learning Center",94501
"26",1,61119,119222,11,2015,31,34.16,"Nea Community Learning Center",94501
"27",1,61119,119222,11,2015,111,58.5,"Nea Community Learning Center",94501
"28",1,61119,130229,11,2015,31,51.5228426395939,"Alameda High",94501
"29",1,61119,130229,11,2015,111,69.5,"Alameda High",94501
"30",1,61119,130609,6,2015,111,73,"Alameda Community Learning Center",94501
"31",1,61119,130609,7,2015,111,82.950495049505,"Alameda Community Learning Center",94501
"32",1,61119,130609,8,2015,111,65,"Alameda Community Learning Center",94501
"33",1,61119,130609,11,2015,111,75,"Alameda Community Learning Center",94501
"34",1,61119,6090013,3,2015,111,69,"Edison Elementary",94501
"35",1,61119,6090013,4,2015,111,72,"Edison Elementary",94501
"36",1,61119,6090013,5,2015,31,40,"Edison Elementary",94501
"37",1,61119,6090013,5,2015,111,76.5,"Edison Elementary",94501
"38",1,61119,6090021,3,2015,31,44,"Frank Otis Elementary",94501
"39",1,61119,6090021,3,2015,111,69.5,"Frank Otis Elementary",94501
"40",1,61119,6090021,4,2015,31,42.5,"Frank Otis Elementary",94501
"41",1,61119,6090021,4,2015,111,71.5,"Frank Otis Elementary",94501
"42",1,61119,6090021,5,2015,31,59,"Frank Otis Elementary",94501
"43",1,61119,6090021,5,2015,111,77.9714285714286,"Frank Otis Elementary",94501
"44",1,61119,6090039,3,2015,31,54,"Franklin Elementary",94501
"45",1,61119,6090039,3,2015,111,67.4943820224719,"Franklin Elementary",94501
"46",1,61119,6090039,4,2015,111,62.5,"Franklin Elementary",94501
"47",1,61119,6090039,5,2015,111,62,"Franklin Elementary",94501
"48",1,61119,6090054,6,2015,31,38.6329113924051,"Lincoln Middle",94501
"49",1,61119,6090054,6,2015,111,79.5155131264916,"Lincoln Middle",94501
"50",1,61119,6090054,7,2015,31,57.9753086419753,"Lincoln Middle",94501
"51",1,61119,6090054,7,2015,111,77.0092421441774,"Lincoln Middle",94501
"52",1,61119,6090054,8,2015,31,51.5,"Lincoln Middle",94501
"53",1,61119,6090054,8,2015,111,78.5,"Lincoln Middle",94501
"54",1,61119,6090112,6,2015,31,20,"Will C. Wood Middle",94501
"55",1,61119,6090112,6,2015,111,47.4765100671141,"Will C. Wood Middle",94501
"56",1,61119,6090112,7,2015,31,37.9591836734694,"Will C. Wood Middle",94501
"57",1,61119,6090112,7,2015,111,56,"Will C. Wood Middle",94501
"58",1,61119,6090112,8,2015,31,22.4810126582278,"Will C. Wood Middle",94501
"59",1,61119,6090112,8,2015,111,48.5,"Will C. Wood Middle",94501
"60",1,61119,6090120,3,2015,31,43.5,"William G. Paden Elementary",94501
"61",1,61119,6090120,3,2015,111,64.5454545454545,"William G. Paden Elementary",94501
"62",1,61119,6090120,4,2015,31,45,"William G. Paden Elementary",94501
"63",1,61119,6090120,4,2015,111,80,"William G. Paden Elementary",94501
"64",1,61119,6090120,5,2015,31,49,"William G. Paden Elementary",94501
